Date,"AUD/USD(Open, Ask)","AUD/USD(High, Ask)","AUD/USD(Low, Ask)","AUD/USD(Close, Ask)","AUD/USD(Open, Bid)*","AUD/USD(High, Bid)*","AUD/USD(Low, Bid)*","AUD/USD(Close, Bid)*"
08/31/2016 06:29:00,0.75127,0.75127,0.75125,0.75127,0.75124,0.75124,0.75121,0.75124
08/31/2016 06:28:00,0.75133,0.75133,0.75126,0.75127,0.75129,0.75129,0.75122,0.75124
08/31/2016 06:27:00,0.75135,0.75137,0.75128,0.75133,0.75130,0.75133,0.75124,0.75129
08/31/2016 06:26:00,0.75137,0.75145,0.75134,0.75135,0.75134,0.75141,0.75130,0.75130
08/31/2016 06:25:00,0.75137,0.75141,0.75127,0.75137,0.75133,0.75137,0.75123,0.75134
08/31/2016 06:24:00,0.75148,0.75148,0.75136,0.75137,0.75144,0.75144,0.75132,0.75133
08/31/2016 06:23:00,0.75146,0.75152,0.75145,0.75148,0.75142,0.75148,0.75140,0.75144
08/31/2016 06:22:00,0.75146,0.75150,0.75143,0.75146,0.75142,0.75145,0.75139,0.75142
08/31/2016 06:21:00,0.75147,0.75150,0.75145,0.75146,0.75143,0.75145,0.75140,0.75142
08/31/2016 06:20:00,0.75144,0.75151,0.75143,0.75147,0.75141,0.75147,0.75140,0.75143
08/31/2016 06:19:00,0.75148,0.75149,0.75143,0.75144,0.75144,0.75146,0.75138,0.75141
08/31/2016 06:18:00,0.75144,0.75150,0.75142,0.75148,0.75139,0.75146,0.75138,0.75144
08/31/2016 06:17:00,0.75137,0.75146,0.75134,0.75144,0.75131,0.75141,0.75130,0.75139
08/31/2016 06:16:00,0.75136,0.75147,0.75136,0.75137,0.75132,0.75143,0.75131,0.75131
08/31/2016 06:15:00,0.75135,0.75141,0.75125,0.75136,0.75132,0.75137,0.75123,0.75132
08/31/2016 06:14:00,0.75134,0.75138,0.75133,0.75135,0.75132,0.75136,0.75130,0.75132
08/31/2016 06:13:00,0.75136,0.75136,0.75130,0.75134,0.75132,0.75134,0.75127,0.75132
08/31/2016 06:12:00,0.75135,0.75143,0.75130,0.75136,0.75132,0.75139,0.75126,0.75132
08/31/2016 06:11:00,0.75134,0.75145,0.75133,0.75135,0.75130,0.75141,0.75128,0.75132
08/31/2016 06:10:00,0.75127,0.75136,0.75126,0.75134,0.75124,0.75133,0.75123,0.75130
08/31/2016 06:09:00,0.75133,0.75133,0.75124,0.75127,0.75130,0.75130,0.75121,0.75124
08/31/2016 06:08:00,0.75137,0.75140,0.75132,0.75133,0.75133,0.75137,0.75128,0.75130
08/31/2016 06:07:00,0.75150,0.75150,0.75135,0.75137,0.75145,0.75145,0.75131,0.75133
08/31/2016 06:06:00,0.75147,0.75151,0.75138,0.75150,0.75142,0.75147,0.75134,0.75145
08/31/2016 06:05:00,0.75146,0.75159,0.75145,0.75147,0.75141,0.75154,0.75140,0.75142
08/31/2016 06:04:00,0.75146,0.75156,0.75142,0.75146,0.75141,0.75152,0.75137,0.75141
08/31/2016 06:03:00,0.75152,0.75163,0.75145,0.75146,0.75148,0.75158,0.75140,0.75141
08/31/2016 06:02:00,0.75164,0.75166,0.75152,0.75152,0.75159,0.75164,0.75148,0.75148
08/31/2016 06:01:00,0.75158,0.75167,0.75155,0.75164,0.75153,0.75164,0.75150,0.75159
08/31/2016 06:00:00,0.75177,0.75178,0.75156,0.75158,0.75172,0.75175,0.75151,0.75153
08/31/2016 05:59:00,0.75180,0.75184,0.75174,0.75177,0.75175,0.75180,0.75170,0.75172
08/31/2016 05:58:00,0.75169,0.75185,0.75169,0.75180,0.75165,0.75183,0.75165,0.75175
08/31/2016 05:57:00,0.75165,0.75172,0.75165,0.75169,0.75161,0.75168,0.75160,0.75165
08/31/2016 05:56:00,0.75165,0.75167,0.75156,0.75165,0.75160,0.75164,0.75151,0.75161
08/31/2016 05:55:00,0.75182,0.75182,0.75151,0.75165,0.75178,0.75178,0.75147,0.75160
08/31/2016 05:54:00,0.75185,0.75189,0.75178,0.75182,0.75181,0.75185,0.75174,0.75178
08/31/2016 05:53:00,0.75183,0.75187,0.75183,0.75185,0.75179,0.75183,0.75179,0.75181
08/31/2016 05:52:00,0.75173,0.75185,0.75173,0.75183,0.75169,0.75181,0.75169,0.75179
08/31/2016 05:51:00,0.75173,0.75179,0.75165,0.75173,0.75168,0.75174,0.75161,0.75169
08/31/2016 05:50:00,0.75171,0.75174,0.75166,0.75173,0.75167,0.75169,0.75161,0.75168
08/31/2016 05:49:00,0.75196,0.75197,0.75166,0.75171,0.75193,0.75194,0.75162,0.75167
08/31/2016 05:48:00,0.75198,0.75198,0.75194,0.75196,0.75193,0.75194,0.75190,0.75193
08/31/2016 05:47:00,0.75204,0.75206,0.75194,0.75198,0.75201,0.75201,0.75190,0.75193
08/31/2016 05:46:00,0.75196,0.75214,0.75195,0.75204,0.75192,0.75209,0.75192,0.75201
08/31/2016 05:45:00,0.75203,0.75210,0.75195,0.75196,0.75199,0.75205,0.75191,0.75192
08/31/2016 05:44:00,0.75202,0.75216,0.75202,0.75203,0.75198,0.75212,0.75198,0.75199
08/31/2016 05:43:00,0.75197,0.75205,0.75195,0.75202,0.75192,0.75201,0.75191,0.75198
08/31/2016 05:42:00,0.75195,0.75206,0.75191,0.75197,0.75191,0.75201,0.75188,0.75192
08/31/2016 05:41:00,0.75202,0.75204,0.75194,0.75195,0.75198,0.75200,0.75191,0.75191
08/31/2016 05:40:00,0.75196,0.75206,0.75195,0.75202,0.75192,0.75202,0.75190,0.75198
08/31/2016 05:39:00,0.75203,0.75204,0.75191,0.75196,0.75199,0.75200,0.75187,0.75192
08/31/2016 05:38:00,0.75202,0.75206,0.75201,0.75203,0.75198,0.75202,0.75198,0.75199
08/31/2016 05:37:00,0.75213,0.75214,0.75202,0.75202,0.75209,0.75211,0.75196,0.75198
08/31/2016 05:36:00,0.75213,0.75215,0.75212,0.75213,0.75209,0.75211,0.75208,0.75209
